model,train_alpha,score_type,mean_score,std_score,q95,q99
GAT_h32_l3_head1_a0.1,0.1,country_score,0.6773191094398499,0.31493452191352844,0.9991538524627686,0.999934196472168
GAT_h32_l3_head1_a0.3,0.3,combined_score,0.8395978212356567,0.5968332290649414,2.080764055252075,2.6751821041107178
GAT_h32_l3_head1_a0.3,0.3,population_error,0.9303768873214722,0.9433742165565491,2.960054874420166,3.9741883277893066
GAT_h32_l3_head1_a0.3,0.3,country_score,0.7034289240837097,0.302729070186615,0.9991092681884766,0.9999014735221863
GAT_h32_l3_head1_a0.5,0.5,combined_score,0.9957730174064636,0.597625732421875,2.1242074966430664,2.7417399883270264
GAT_h32_l3_head1_a0.5,0.5,population_error,1.151650309562683,0.946122944355011,3.025439500808716,4.007009029388428
GAT_h32_l3_head1_a0.5,0.5,country_score,0.7619569301605225,0.2606509327888489,0.9987622499465942,0.9998100996017456
GAT_h32_l3_head1_a0.7,0.7,combined_score,0.8716104030609131,0.5910853743553162,2.131577491760254,2.6116344928741455
GAT_h32_l3_head1_a0.7,0.7,population_error,0.9242004752159119,0.9390751123428345,2.931704521179199,3.7330946922302246
GAT_h32_l3_head1_a0.7,0.7,country_score,0.792725145816803,0.24357570707798004,0.9991944432258606,0.9996424317359924
GAT_h32_l3_head1_a0.9,0.9,combined_score,0.7806199193000793,0.5836700201034546,2.019943952560425,2.5908846855163574
GAT_h32_l3_head1_a0.9,0.9,population_error,0.8026201128959656,0.9261705279350281,2.9035847187042236,3.817373514175415
GAT_h32_l3_head1_a0.9,0.9,country_score,0.7476195096969604,0.2753843069076538,0.9984813332557678,0.9994028806686401
